Agent,Scenario,FeatureIdx,FeatureName,Partition_MeanAbsSHAP,Kernel_MeanAbsSHAP,Partition_rank,Kernel_rank
A2C_mod,EASY,517,waste_feat_SKU77,0.00010464938411669759,5.650612516495314e-08,534,213
A2C_mod,EASY,518,waste_feat_SKU78,0.00010464938411669762,0.0,176,555
A2C_mod,EASY,519,waste_feat_SKU79,0.0001046493841166976,0.0012482837515345215,329,14
A2C_mod,EASY,520,waste_feat_SKU80,0.00010464938411669759,0.0,535,556
A2C_mod,EASY,521,waste_feat_SKU81,0.0001046493841166976,6.6055888313491e-08,330,192
A2C_mod,EASY,522,waste_feat_SKU82,0.00010464938411669762,1.4444553623631193e-07,175,122
A2C_mod,EASY,523,waste_feat_SKU83,0.00010464938411669759,1.7360496146394276e-08,522,320
A2C_mod,EASY,524,waste_feat_SKU84,0.0001046493841166976,1.8495497955923338e-08,331,314
A2C_mod,EASY,525,waste_feat_SKU85,0.00010464938411669762,5.981091492845359e-10,188,386
A2C_mod,EASY,526,waste_feat_SKU86,0.0001046493841166976,1.1757089280640043e-11,317,430
A2C_mod,EASY,527,waste_feat_SKU87,0.00010464938411669759,0.0,520,557
A2C_mod,EASY,528,waste_feat_SKU88,0.0001046493841166976,4.451025349594151e-08,318,233
A2C_mod,EASY,529,waste_feat_SKU89,0.00010464938411669759,6.587348762148417e-09,521,350
A2C_mod,EASY,530,waste_feat_SKU90,0.0001046493841166976,0.0,356,566
A2C_mod,EASY,531,waste_feat_SKU91,0.0001046493841166976,0.0,357,567
A2C_mod,EASY,532,waste_feat_SKU92,0.0001046493841166976,0.0,358,568
A2C_mod,EASY,533,waste_feat_SKU93,0.0001046493841166976,1.1809253291589022e-10,359,404
A2C_mod,EASY,534,waste_feat_SKU94,0.00010464938411669762,0.0,141,569
A2C_mod,EASY,535,waste_feat_SKU95,0.0001046493841166976,3.3301174476636276e-08,332,264
A2C_mod,EASY,536,waste_feat_SKU96,0.00010464938411669759,3.44993796646624e-09,556,367
A2C_mod,EASY,537,waste_feat_SKU97,0.0001046493841166976,6.378322674169574e-08,333,198
A2C_mod,EASY,538,waste_feat_SKU98,0.00010464938411669759,0.0,555,570
A2C_mod,EASY,539,waste_feat_SKU99,0.0001046493841166976,0.0,334,571
A2C_mod,EASY,540,waste_feat_SKU100,0.00010464938411669762,1.3192904772530367e-07,163,130
A2C_mod,EASY,541,waste_feat_SKU101,0.00010464938411669759,0.0014164636857986062,554,10
A2C_mod,EASY,542,waste_feat_SKU102,0.00010464938411669762,5.8643710764015525e-08,162,208
A2C_mod,EASY,543,waste_feat_SKU103,0.0001046493841166976,3.82189164509144e-06,340,96
A2C_mod,EASY,544,waste_feat_SKU104,0.00010464938411669759,0.0,550,553
A2C_mod,EASY,545,waste_feat_SKU105,0.00010464938411669762,0.0,161,584
A2C_mod,EASY,546,waste_feat_SKU106,0.00010464938411669762,6.116403392427211e-08,113,205
A2C_mod,EASY,547,waste_feat_SKU107,0.00010464938411669762,4.0480596329648634e-08,112,246
A2C_mod,EASY,548,waste_feat_SKU108,0.00010464938411669759,1.4676258613450327e-08,563,329
A2C_mod,EASY,549,waste_feat_SKU109,0.00010464938411669759,0.0,573,585
A2C_mod,EASY,550,waste_feat_SKU110,0.00010464938411669759,1.0715038488603578e-08,564,341
A2C_mod,EASY,551,waste_feat_SKU111,0.00010464938411669762,0.0,111,586
A2C_mod,EASY,552,waste_feat_SKU112,0.00010464938411669762,2.104567149795271e-08,140,304
A2C_mod,EASY,553,waste_feat_SKU113,0.0001046493841166976,5.259964729399014e-09,360,355
A2C_mod,EASY,554,waste_feat_SKU114,0.00010464938411669762,1.438851665011571e-07,139,123
A2C_mod,EASY,555,waste_feat_SKU115,0.0001046493841166976,0.0010023152671580781,361,30
A2C_mod,EASY,556,waste_feat_SKU116,0.00010464938411669762,8.198167284503084e-08,138,170
A2C_mod,EASY,557,waste_feat_SKU117,0.0001046493841166976,0.0,366,564
A2C_mod,EASY,558,waste_feat_SKU118,0.0001046493841166976,3.959797803816942e-09,367,365
A2C_mod,EASY,559,waste_feat_SKU119,0.00010464938411669759,0.0011247461770766607,565,22
A2C_mod,EASY,560,waste_feat_SKU120,0.0001046493841166976,0.0,368,565
A2C_mod,EASY,561,waste_feat_SKU121,0.0001046493841166976,6.346334610594334e-08,369,200
A2C_mod,EASY,562,waste_feat_SKU122,0.00010464938411669758,0.000607068820848605,653,59
A2C_mod,EASY,563,waste_feat_SKU123,0.00010464938411669762,4.07918766980905e-08,92,245
A2C_mod,EASY,564,waste_feat_SKU124,0.0001046493841166976,7.051736293305772e-08,385,184
A2C_mod,EASY,565,waste_feat_SKU125,0.0001046493841166976,0.0,386,598
A2C_mod,EASY,566,waste_feat_SKU126,0.00010464938411669758,0.0,652,599
A2C_mod,EASY,567,waste_feat_SKU127,0.00010464938411669759,8.047538189851935e-08,570,172
A2C_mod,EASY,568,waste_feat_SKU128,0.00010464938411669759,0.00011640639465123324,582,90
A2C_mod,EASY,569,waste_feat_SKU129,0.00010464938411669759,1.8725513995057626e-07,583,108
A2C_mod,EASY,570,waste_feat_SKU130,0.00010464938411669762,0.00037169475301442707,91,78
A2C_mod,EASY,571,waste_feat_SKU131,0.00010464938411669759,1.0829239013033129e-07,580,140
A2C_mod,EASY,572,waste_feat_SKU132,0.00010464938411669764,0.0,14,600
A2C_mod,EASY,573,waste_feat_SKU133,0.0001046493841166976,8.885335549231454e-08,372,159
A2C_mod,EASY,574,waste_feat_SKU134,0.00010464938411669759,1.0451999118474256e-07,576,145
A2C_mod,EASY,575,waste_feat_SKU135,0.0001046493841166976,0.0,373,601
A2C_mod,EASY,576,waste_feat_SKU136,0.00010464938411669762,0.0,120,602
A2C_mod,EASY,577,waste_feat_SKU137,0.00010464938411669762,7.329119691853279e-08,119,179
A2C_mod,EASY,578,waste_feat_SKU138,0.00010464938411669758,1.458171843335463e-07,657,121
A2C_mod,EASY,579,waste_feat_SKU139,0.00010464938411669762,0.0,83,611
A2C_mod,EASY,580,waste_feat_SKU140,0.00010464938411669759,0.0,596,612
A2C_mod,EASY,581,waste_feat_SKU141,0.00010464938411669762,0.0,82,613
A2C_mod,EASY,582,waste_feat_SKU142,0.00010464938411669759,1.0990336296374526e-07,597,139
A2C_mod,EASY,583,waste_feat_SKU143,0.00010464938411669759,0.0,598,614
A2C_mod,EASY,584,waste_feat_SKU144,0.00010464938411669759,0.0,599,615
A2C_mod,EASY,585,waste_feat_SKU145,0.00010464938411669763,8.412848315266195e-08,46,167
A2C_mod,EASY,586,waste_feat_SKU146,0.00010464938411669758,2.465761961672675e-07,648,105
A2C_mod,EASY,587,waste_feat_SKU147,0.00010464938411669762,0.0,81,616
A2C_mod,EASY,588,waste_feat_SKU148,0.00010464938411669759,0.0,584,617
A2C_mod,EASY,589,waste_feat_SKU149,0.00010464938411669759,4.384263243780973e-12,568,433
A2C_mod,EASY,590,waste_feat_SKU150,0.00010464938411669762,8.775354599020191e-08,80,162
A2C_mod,EASY,591,waste_feat_SKU151,0.00010464938411669762,0.0,110,618
A2C_mod,EASY,592,waste_feat_SKU152,0.00010464938411669759,0.00036802003016238853,569,80
A2C_mod,EASY,593,waste_feat_SKU153,0.00010464938411669758,0.0,651,626
