episode,reward,loss,stockout,waste,overstock,quantile,epsilon,buffer_size,steps
1,-0.07867348777637946,0.0,0.10654490113258362,0.013519602335937735,0.05651140492212208,0.9020975823534859,0.997525,900,900
2,-0.02623815450219101,0.3065989318021228,0.0757990868224038,0.014770409489153988,0.061513227298855784,0.874155433707767,0.99505,1800,900
3,-0.06814973763416574,0.29480249426431127,0.10496194837821854,0.013621322522457275,0.05662633979382614,0.8929401305649015,0.992575,2700,900
4,-0.07196794279686097,0.24714996569686465,0.10636225279006693,0.013495415739145958,0.05481409071378746,0.8972961862219705,0.9901,3600,900
5,-0.03011801305328845,0.23009623299870227,0.08353120240072409,0.014571419442589911,0.061578795720577346,0.8704365985261069,0.987625,4500,900
6,-0.03172133108080339,0.15702442972196473,0.08191780831250879,0.014558000024408102,0.061207830934759434,0.8740376949310302,0.98515,5400,900
7,-0.07512642978186099,0.16883079609523216,0.10219178092976411,0.01352028559298358,0.05504208093780714,0.9043722853726811,0.982675,6300,900
8,-0.03896849177871546,0.2662197331546081,0.0858295282555951,0.014353729149119721,0.06048923413993584,0.8782960032754474,0.9802,7200,900
9,-0.042387262242975544,0.15633657121203012,0.08474885850316949,0.014348424652901788,0.06005355098646962,0.8832364312807719,0.977725,8100,900
10,-0.05259638662328749,0.21847816463973788,0.08934550990660985,0.014232132542205768,0.06077251753595192,0.8882462300194635,0.97525,9000,900
11,-0.06085331707436126,0.019867860945976444,0.0968036530746354,0.01386867206517814,0.05743401254485232,0.8927469822102123,0.972775,9900,900
12,-0.0007300385106160926,0.010866978428223067,0.06969558605717288,0.014853008863412672,0.05959922656804944,0.8565822205278608,0.9702999999999999,10800,900
13,0.0020115133239839147,0.009864905455874071,0.06665144599146314,0.0152187225734815,0.06395469328466181,0.8521636282073127,0.9678249999999999,11700,900
14,-0.000441577678914958,0.009817831899142928,0.0677777778936757,0.015212967698979708,0.06370492655576931,0.8537459087371826,0.9653499999999999,12600,900
15,0.016786267562727313,0.00990570910844124,0.06455098940266503,0.015460913905666934,0.06432742099059396,0.8388744119803111,0.9628749999999999,13500,900
16,0.020463288513807736,0.0101379076567375,0.06228310509688324,0.015500250625838008,0.06438830280573003,0.8373650563425488,0.9603999999999999,14400,900
17,-0.0007413826111911071,0.010186137032384674,0.06657534254921807,0.015058711607319614,0.06158398212063023,0.8575233492586348,0.9579249999999999,15300,900
18,0.015038803943251777,0.01011698797552122,0.06167427707049582,0.015415378559070329,0.0634324848988197,0.8444390590323342,0.9554499999999999,16200,900
19,-0.021684864210005293,0.010293433607245484,0.07913242008123134,0.014719985140901472,0.059829282888482944,0.8680031797952122,0.9529749999999999,17100,900
20,0.007347652871217368,0.010073174617977606,0.06861491622196303,0.015191791284208497,0.06148088836421569,0.8473647546768188,0.9504999999999999,18000,900
21,-0.004029259578383062,0.014012940695716274,0.06770167427758376,0.01513911755859024,0.06014265965657412,0.8610458108451632,0.9480249999999999,18900,900
22,0.007354730122121206,0.012851923186745908,0.06238965004682541,0.015445785045416818,0.06410735967905364,0.8507024785545138,0.9455499999999999,19800,900
23,0.03865614175087507,0.01285529428316901,0.05330289191669888,0.015982422197961973,0.06555093779267433,0.8265076096190347,0.9430749999999999,20700,900
24,0.004683240837523246,0.012816802815327214,0.0687975645562013,0.015146011361179667,0.06119888458607925,0.8501743017302619,0.9405999999999999,21600,900
25,0.030238588621567843,0.012915477950332894,0.05928462703194883,0.015593194865569886,0.06263507123713175,0.8322485210498174,0.9381249999999999,22500,900
26,0.03437154979943039,0.012830412857130997,0.05490106554494964,0.015945949244519902,0.06411643002012472,0.830665009882715,0.9356499999999999,23400,900
27,0.02154404836220945,0.013453293474805023,0.0680821916874912,0.015332717457786202,0.06140700017913736,0.833634045653873,0.9331749999999999,24300,900
28,0.022696717105136485,0.01318095088781168,0.06305936077402698,0.01551323453274866,0.062006200918436255,0.8367244894637001,0.9306999999999999,25200,900
29,0.06732056912668567,0.013107487060543564,0.04850837128029929,0.016265004257568053,0.06445478939037357,0.8034512696001265,0.9282249999999999,26100,900
30,0.04397005729383737,0.0130769458019899,0.052754946731858786,0.01601855936046276,0.06370141582253079,0.8235550249285168,0.9257499999999999,27000,900
31,0.011177527724147594,0.012467165388580826,0.06570776244004567,0.015381280042541523,0.06151241820771247,0.8462210149235195,0.9232749999999998,27900,900
32,0.014863891379358797,0.01266569660924789,0.06471841701202923,0.015499778235486398,0.060970294082459686,0.8439476229747136,0.9207999999999998,28800,900
33,0.04325667427690254,0.012509088813223773,0.05462709282835325,0.015885540092519173,0.06299589300347078,0.8232348026169671,0.9183249999999998,29700,900
34,0.06354845628477052,0.012824151029085948,0.04751902581916915,0.01626400381223195,0.06398623338590066,0.8086822838253445,0.9158499999999998,30600,900
35,0.04769782822697784,0.012793496842496097,0.04908675802250703,0.016159604355278943,0.06382550176440013,0.8232303114069832,0.9133749999999998,31500,900
36,0.0882190131500829,0.012820479973322816,0.04272450529866748,0.016683103654326664,0.06717282841602962,0.7852005537350972,0.9108999999999998,32400,900
37,0.05978681384754762,0.012823432535450492,0.04698630128469732,0.016227772602707975,0.06348560515144426,0.813513510492113,0.9084249999999998,33300,900
38,0.08244989059309268,0.01317893993575126,0.04086757984426286,0.016668200995773076,0.06600867538544763,0.7940056565735075,0.9059499999999998,34200,900
39,0.07409402814726086,0.013212565707767175,0.045540334830681484,0.01640461620098601,0.06400749571517937,0.799953528576427,0.9034749999999998,35100,900
40,0.04747257812698889,0.013335470658106108,0.05649923890001244,0.015923417494373603,0.061491057647185196,0.8186137114630805,0.9009999999999998,36000,900
41,0.07696964577766872,0.01384177185750256,0.0446575341373682,0.016561751316508486,0.06370169301491438,0.7981093797418807,0.8985249999999998,36900,900
42,0.09129503894768681,0.013947282803451849,0.04057838657663928,0.016727451298696298,0.06691118999798265,0.7844879371921222,0.8960499999999998,37800,900
43,0.05178496905182126,0.013927107729121214,0.05646879736748007,0.016002938881671678,0.06146954510685949,0.8142737530337439,0.8935749999999998,38700,900
44,0.10323364138221627,0.014015890421966711,0.03733637750976616,0.016990457862201665,0.06613158354328738,0.7763079445229636,0.8910999999999998,39600,900
45,0.051838704934602395,0.014350851267679697,0.05307458135816786,0.016148653527876984,0.06234768804111,0.8165903759002685,0.8886249999999998,40500,900
46,0.11433052210945688,0.014526070186143948,0.03646879751649168,0.017016611681319772,0.06494236584856278,0.7672417069143719,0.8861499999999998,41400,900
47,0.07729490571619761,0.014359792872435518,0.05001522061725457,0.01633227738370705,0.061287340279409866,0.7950702597035302,0.8836749999999998,42300,900
48,0.09722971676793855,0.014475013505046567,0.0380213089618418,0.016871022417520483,0.06586853683512243,0.782009419269032,0.8811999999999998,43200,900
49,0.0962518913123899,0.014439533933376273,0.04083713853524791,0.016841791302172674,0.06547116496729562,0.7805980167124007,0.8787249999999998,44100,900
50,0.11751067607720163,0.014571795047571261,0.033439878175656,0.017264321614574227,0.06747458337237024,0.7643105443318685,0.8762499999999998,45000,900
51,0.09932970856623191,0.014671921652431289,0.03894977158970303,0.016810536944410866,0.06321530122723844,0.7816946850882636,0.8737749999999997,45900,900
52,0.13886603330468966,0.014609847172784308,0.03210045656396283,0.017404124482224385,0.0675579259216061,0.7440714636113909,0.8712999999999997,46800,900
53,0.09813685850190672,0.014747324084035224,0.03692541849282053,0.016988616513295307,0.06450786663529774,0.7834412436352836,0.8688249999999997,47700,900
54,0.12802001821653297,0.014709449767962925,0.03365296795964241,0.017150707840919495,0.0647534594964236,0.7564228503571616,0.8663499999999997,48600,900
55,0.12835168297215002,0.014939981009811164,0.034764079079031944,0.017234225534420045,0.06624307939549907,0.7534069366587532,0.8638749999999997,49500,900
56,0.11061336030396988,0.015263747668100729,0.03876712326374319,0.016937586534509642,0.06376167133786818,0.7699202621314261,0.8613999999999997,50400,900
57,0.12127203180086023,0.01510000781621784,0.034916286062863136,0.01722574092965159,0.06391913108527661,0.7626668137311935,0.8589249999999997,51300,900
58,0.10942806285214222,0.01529412116544942,0.039025875065061784,0.01691065512571691,0.06440203257529194,0.7702333782116572,0.8564499999999997,52200,900
59,0.14102601166510592,0.015262977725619244,0.030882800478074287,0.017371791389046445,0.06657409760790567,0.7441453028387494,0.8539749999999997,53100,900
60,0.15028530013315808,0.015457251471363835,0.029375951232181657,0.017540063841992783,0.06674511163715377,0.7360535773966047,0.8514999999999997,54000,900
61,0.15953996815261134,0.01674144753979312,0.028904109506143465,0.01767406212683353,0.06566202700758973,0.7282198365529379,0.8490249999999997,54900,900
62,0.11860835706530552,0.016783921939010422,0.0384170470552312,0.016990961164184328,0.061876819941357505,0.7641068186362584,0.8465499999999997,55800,900
63,0.16572490567860465,0.016928194760241443,0.026849315009183354,0.01779141343353937,0.06759520193406691,0.7220391676823298,0.8440749999999997,56700,900
64,0.11262004141705499,0.01695549219329324,0.040821917727589606,0.016880949180469746,0.061808120975167385,0.7678689738114675,0.8415999999999997,57600,900
65,0.1718948793789928,0.017095486285785833,0.026347031907902822,0.017896468549345932,0.06743987780323045,0.7164217460486624,0.8391249999999997,58500,900
66,0.11801504671415185,0.01690771124843094,0.037869101853834256,0.017132643847208882,0.06285220032150392,0.764131010638343,0.8366499999999997,59400,900
67,0.14038672548903075,0.017229798400981558,0.03388127850161658,0.017255684775559024,0.06222146570074579,0.7462548495994674,0.8341749999999997,60300,900
68,0.16145548221648723,0.017368408379455406,0.027275494552320905,0.017780178634242878,0.0656983666246136,0.7277904818455379,0.8316999999999997,61200,900
69,0.1299282901356249,0.017205303533830575,0.03563165903091431,0.017227417044858966,0.06202549536039846,0.7551871424251132,0.8292249999999997,62100,900
70,0.17619747827870824,0.017333256324960127,0.024977168829904663,0.017941435547545553,0.0658074179550426,0.7150765036212073,0.8267499999999997,63000,900
71,0.13308891110430218,0.01775299385603931,0.036651445801059404,0.017258560741837653,0.06311978067963436,0.7498813048998515,0.8242749999999996,63900,900
72,0.16810131786410543,0.01769111555380126,0.025479451964298884,0.017814861173845,0.06367465765681118,0.724929715262519,0.8217999999999996,64800,900
73,0.1793387145703956,0.017595231789681646,0.02415525106092294,0.018034245998909074,0.06616357590640999,0.7123082154326968,0.8193249999999996,65700,900
74,0.16185064281961078,0.017739641971679196,0.02891933015651173,0.017687605215340026,0.06327370192648636,0.7282687236203088,0.8168499999999996,66600,900
75,0.20799849949518426,0.017819497300725844,0.021917808113826646,0.018323761612797775,0.06718572909219397,0.6845742052131228,0.8143749999999996,67500,900
76,0.19487825562660066,0.017793640249098342,0.023074581349889437,0.018191160729361906,0.06691505237805864,0.6969409534004,0.8118999999999996,68400,900
77,0.15042342710269926,0.01803353402349684,0.03273972594903575,0.0174472638951718,0.06350046478852164,0.7358891221880913,0.8094249999999996,69300,900
78,0.16774801308505882,0.01801084470935166,0.03242009114060137,0.017554684083960537,0.06279332235145073,0.7194838925864961,0.8069499999999996,70200,900
79,0.20201275495062065,0.017914545190417103,0.021765601096881762,0.018250458096671435,0.0660112694863023,0.6919599207904604,0.8044749999999996,71100,900
80,0.2169476762723611,0.018216772514084975,0.019482496091061167,0.01841937518057724,0.0674558032154002,0.6776946532064014,0.8019999999999996,72000,900
81,0.18224659059439244,0.019083136570536428,0.024855403237872654,0.017908155894320873,0.06423302390560921,0.7107568310366736,0.7995249999999996,72900,900
82,0.21304814971242902,0.018666191547074253,0.0209284625781907,0.018312288525824744,0.06664453607608771,0.6810665670037269,0.7970499999999996,73800,900
83,0.18408314868735032,0.01888733938543333,0.025996955790453486,0.01788944765821927,0.06304486913632394,0.7089855819940567,0.7945749999999996,74700,900
