Agent,Scenario,Strategy,mean,std,CV,IQR,q25,q75
DQN,EASY,MoRF,0.0022620778647251425,0.00043508518559061773,0.19233788058161183,0.0007510462601203471,0.0019429815874900669,0.002694027847610414
DQN,EASY,Random,-0.00016460739863759954,0.00025099324799848544,1.52470668395775,0.0003322024392673484,-0.00034248680458404124,-1.0284365316692856e-05
DQN,EASY,LeRF,-0.001143805601168424,0.00010806459664802444,0.09447728859235258,9.593903087079525e-06,-0.0011140754213556647,-0.0011044815182685852
DQN,MEDIUM,MoRF,0.0019596103415824473,0.0006129546566197728,0.31279255660552857,0.0009285433334298432,0.0015869393246248364,0.0025154826580546796
DQN,MEDIUM,Random,-0.00010615408737066901,0.0002381041923604116,2.2427941336610124,0.0003374079187778989,-0.0002494715663488023,8.793635242909659e-05
DQN,MEDIUM,LeRF,-0.0011901795957237483,8.159824006704816e-05,0.06855902652839835,8.747156243771315e-06,-0.0011693169653881341,-0.0011605698091443628
DQN,HARD,MoRF,0.0016647805151296779,0.000807145528196545,0.4848330891251341,0.0013006757944822311,0.0010736779659055173,0.0023743537603877485
DQN,HARD,Random,-0.00021133559460849937,0.0002260071462271785,1.0693724023244415,0.00038154038855964245,-0.00038806722295703366,-6.526834397391212e-06
DQN,HARD,LeRF,-0.0012746557965874672,5.545618269300218e-05,0.043506449173947685,2.8905546059831977e-05,-0.0012775469513144344,-0.0012486414052546024
A2C_mod,EASY,MoRF,0.003994449377059937,8.580883472118624e-05,0.021481964546687812,8.299946784973145e-05,0.003947243094444275,0.004030242562294006
A2C_mod,EASY,Random,0.0013498995701471963,0.0005360208241764501,0.39707906072404653,0.0008603736758232118,0.0008824840188026428,0.0017428576946258547
A2C_mod,EASY,LeRF,-0.0021895027160644532,0.0005648804832679023,0.2579936983801805,2.980232238769531e-07,-0.0019741058349609375,-0.0019738078117370605
A2C_mod,MEDIUM,MoRF,0.003870424032211304,0.0002234247935048935,0.057726030632601615,0.00022715330123901367,0.0037630051374435425,0.003990158438682556
A2C_mod,MEDIUM,Random,0.0012095402081807455,0.0006010768738081592,0.49694247476690034,0.0008388991157213847,0.0008213500181833903,0.001660249133904775
A2C_mod,MEDIUM,LeRF,-3.0364990234375e-05,8.038665021335965e-05,2.646474931945396,2.0265579223632812e-06,-1.9252300262451172e-05,-1.722574234008789e-05
A2C_mod,HARD,MoRF,0.0035821545124053956,0.0005919934285529396,0.16526137381541436,0.0005677491426467896,0.0033884942531585693,0.003956243395805359
A2C_mod,HARD,Random,0.000978763182957967,0.0006205881256064607,0.6340469236508615,0.0008711829781532286,0.0005290850996971131,0.0014002680778503417
A2C_mod,HARD,LeRF,0.00031803488731384276,0.0004429910155138413,1.3928568990851384,1.6391277313232422e-07,0.00039005279541015625,0.0003902167081832886
