Agent,Scenario,Strategy,AUPC,AUPC_norm,AUPC_ASR,AUPC_CI_low,AUPC_CI_high,delta_k1,delta_k5,delta_k10,delta_k5_CI_low,delta_k5_CI_high,delta_k10_CI_low,delta_k10_CI_high,ASR_k10,ASR_CI_low,ASR_CI_high,delta_k10_std
DQN,EASY,MoRF,0.013675400943611749,0.0015194889937346387,0.0,0.012999011117162809,0.01439022279630376,-0.0005824837717227638,0.0014461203245446086,0.0022620779927819967,0.0013926379290642218,0.0014995847246609627,0.002139164062682539,0.002385898412321694,0.0,0.0,0.07134759913335874,0.0004350852104835212
DQN,EASY,Random,-0.0009003913709005929,-0.00010004348565562142,0.0,-0.0010641129195076502,-0.0007442550568726318,-7.97262492937989e-06,-8.253165874066325e-05,-0.00016460739863759954,-0.000133451961494643,-3.444959536432179e-05,-0.00023426582498950666,-9.486119374514601e-05,0.0,0.0,0.07134759913335874,0.00025099324799848544
DQN,EASY,LeRF,-0.010276753921061754,-0.0011418615467846394,0.0,-0.010563402308092917,-0.010044371806783602,-0.0011468349257484078,-0.0011329121189191937,-0.0011438055662438273,-0.001164844600833021,-0.001107163781300187,-0.0011755677096080034,-0.0011157432217733002,0.0,0.0,0.07134759913335874,0.00010806459613377228
DQN,MEDIUM,MoRF,0.010947903647320345,0.0012164337385911494,0.0,0.010127361678006763,0.01177733362749359,-0.0005135954706929624,0.0009928925428539515,0.001959610264748335,0.0009189148947189097,0.001077179093437735,0.0017909113087225706,0.0021231634624418803,0.0,0.0,0.07134759913335874,0.0006129546673037112
DQN,MEDIUM,Random,-0.000835247054925432,-9.2805228325048e-05,0.0,-0.0010180533996338957,-0.0006604070695682208,-1.6176923597868154e-05,-0.00012486397076827416,-0.00010615408737066901,-0.000175728867351836,-7.479916251691065e-05,-0.00016752677205840883,-4.102323437655287e-05,0.0,0.0,0.07134759913335874,0.0002381041923604116
DQN,MEDIUM,LeRF,-0.01044996955897659,-0.0011611077287751767,0.0,-0.010658078830194427,-0.010272051307110815,-0.0011332371504977345,-0.0011588373454287648,-0.0011901796096935868,-0.0011834940263652242,-0.0011382003315957262,-0.0012138634641305544,-0.001169568395242095,0.0,0.0,0.07134759913335874,8.159823482856154e-05
DQN,HARD,MoRF,0.009665111298090778,0.0010739012553434197,0.0,0.00850299294178467,0.010820429265417715,-0.0004782619362231344,0.0009235189645551145,0.0016647805459797382,0.000820902511368331,0.001038294504272926,0.001435031077518943,0.001873800459492486,0.0,0.0,0.07134759913335874,0.0008071454940363765
DQN,HARD,Random,-0.0010515561514418436,-0.00011683957238242707,0.0,-0.0012274863571413094,-0.0008678369403385205,-1.7980857596171517e-05,-0.00011088852070315625,-0.00021133559460849937,-0.00016133102128242172,-6.347795755391417e-05,-0.00027345933361550576,-0.00014790707044733153,0.0,0.0,0.07134759913335874,0.0002260071462271785
DQN,HARD,LeRF,-0.010763275029603392,-0.0011959194477337103,0.0,-0.010904387243412202,-0.010633881147397915,-0.0011157874250784516,-0.0012029429199174047,-0.001274655805900693,-0.0012172930964734405,-0.00118923165241722,-0.0012893071340513416,-0.0012605408719391562,0.0,0.0,0.07134759913335874,5.5456181144108996e-05
A2C_mod,EASY,MoRF,0.02412289917469025,0.002680322130521139,0.0,0.024049188271164895,0.024198693037033082,1.3170242309570313e-05,0.0026752841472625732,0.003994449377059937,0.002672109246253967,0.0026787342727184293,0.003972998827695846,0.004018723964691162,0.0,0.0,0.07134759913335874,8.580883472118624e-05
A2C_mod,EASY,Random,0.007001749475797016,0.0007779721639774462,0.0,0.006686320371925831,0.0073199989795684805,0.0001187221606572469,0.0007020847797393799,0.0013498995701471963,0.0005927879363298417,0.0008063206086556115,0.0011981333523988723,0.0014949266811211904,0.0,0.0,0.07134759913335874,0.0005360208241764501
A2C_mod,EASY,LeRF,-0.019555703997612,-0.0021728559997346666,0.0,-0.020946449473500252,-0.01834540730714798,-0.002162214517593384,-0.002162214517593384,-0.0021895027160644532,-0.0023341729938983918,-0.002027988404035568,-0.002354373246431351,-0.002051184356212616,0.0,0.0,0.07134759913335874,0.0005648804832679023
A2C_mod,MEDIUM,MoRF,0.02348012685775757,0.0026089029841952858,0.0,0.02316421192884445,0.023723283842206,1.1607408523559571e-05,0.0026169991493225097,0.003870424032211304,0.0025877065360546112,0.0026320469677448273,0.003811654031276703,0.003926702141761779,0.0,0.0,0.07134759913335874,0.0002234247935048935
A2C_mod,MEDIUM,Random,0.005916103343168894,0.0006573448159076549,0.0,0.005527484372258185,0.006297092170019945,0.0001274657646814982,0.0006056639750798544,0.0012095402081807455,0.000489279572168986,0.000722327377398809,0.0010475047369798026,0.0013666234413782755,0.0,0.0,0.07134759913335874,0.0006010768738081592
A2C_mod,MEDIUM,LeRF,-0.0002492803335189819,-2.7697814835442436e-05,0.0,-0.0004577504396438599,-0.00014118748903274537,-1.492619514465332e-05,-3.0364990234375e-05,-3.0364990234375e-05,-5.3482890129089354e-05,-1.8160343170166016e-05,-5.3542226552963255e-05,-1.822933554649353e-05,0.0,0.0,0.07134759913335874,8.038665021335965e-05
A2C_mod,HARD,MoRF,0.025182348489761353,0.002798038721084595,0.0,0.02380918179452419,0.02608859671652317,0.0023037612438201903,0.0024321532249450685,0.0035821545124053956,0.0023069156110286713,0.0025144003033638,0.0033966240882873536,0.003727838218212128,0.0,0.0,0.07134759913335874,0.0005919934285529396
A2C_mod,HARD,Random,0.0050839846730232246,0.0005648871858914693,0.0,0.00446158497830232,0.005748791692157586,8.717842896779378e-05,0.0004608240922292074,0.000978763182957967,0.0003233519703149795,0.0006042730013529459,0.0008007362196842828,0.001139500473936399,0.0,0.0,0.07134759913335874,0.0006205881256064607
A2C_mod,HARD,LeRF,0.00016442656517028808,1.826961835225423e-05,0.0,9.584087133407593e-05,0.00020573647320270538,5.97238540649414e-07,6.580352783203124e-07,0.00031803488731384276,-7.083714008331299e-07,1.969367265701294e-06,0.00018725046515464782,0.00038886040449142455,0.0,0.0,0.07134759913335874,0.0004429910155138413
