Agent,Scenario,k_msx,mean_msx,mean_rand,mean_diff,p_wilcoxon,p_ttest,cohens_d,p_holm
DQN,EASY,2,-0.00018569287203717977,-4.6488689422403693e-05,-0.00013920418516136124,0.0004885945525092694,0.00037438125925981107,-0.54046564821687,0.0019543782100370777
DQN,EASY,5,0.0014461203245446086,-0.00010342048733946285,0.0015495406791706046,1.7763568394002505e-15,4.907930260477162e-31,3.810368570733096,2.1316282072803006e-14
DQN,MEDIUM,2,-0.0001407144300173968,3.213506621250417e-05,-0.00017284950117755216,0.000367116559868208,0.0003580280234032785,-0.5424891677152397,0.00183558279934104
DQN,MEDIUM,5,0.0009928925428539515,-0.00012771369770803176,0.0011206062056373866,1.7763568394002505e-15,3.2199734607194896e-27,3.138983790045061,2.1316282072803006e-14
DQN,HARD,2,-0.0001407472009304911,-1.6909270370888408e-05,-0.00012383792590298982,0.007609452352863144,0.018216299164036494,-0.34549279042352726,0.015218904705726288
DQN,HARD,5,0.0009235189645551145,-6.979098364354286e-05,0.0009933099282625334,1.2434497875801753e-14,1.4632327306315912e-17,1.845109212339097,8.704148513061227e-14
A2C_mod,EASY,2,0.0001359105110168457,0.00034375214576721195,-0.00020784163475036618,0.0017779629774352657,0.0017019980603309452,-0.46960454820094033,0.005333888932305797
A2C_mod,EASY,5,0.0026752841472625732,0.0007641453742980955,0.0019111387729644777,3.552713678800501e-15,8.949099064324062e-25,2.7630434110303987,3.197442310920451e-14
A2C_mod,MEDIUM,2,0.00013206005096435546,0.0003108977079391479,-0.00017883765697479246,0.024847675451864504,0.008943376435989438,-0.3850533793133221,0.024847675451864504
A2C_mod,MEDIUM,5,0.0026169991493225097,0.0005320333242416381,0.0020849658250808715,1.7763568394002505e-15,1.7872876058758881e-28,3.347764495120601,2.1316282072803006e-14
A2C_mod,HARD,2,0.0023997223377227785,0.00022260165214538574,0.0021771206855773924,3.552713678800501e-15,1.1166681790059944e-31,3.934856246905451,3.197442310920451e-14
A2C_mod,HARD,5,0.0024321532249450685,0.0004256812334060669,0.002006471991539001,1.7763568394002505e-14,1.916737893892026e-24,2.7150292727069814,1.0658141036401503e-13
