Group,A2C_reward_last100,DQN_reward_last100,A2C_stockout_last100,DQN_stockout_last100,A2C_waste_last100,DQN_waste_last100,Reward_delta_A2C_minus_DQN,Stockout_delta,Waste_delta,Winner_reward
Fast,0.1806789907582368,0.770858651840935,0.1513900996171023,8.05175032880571e-05,0.010297241670319417,0.021615017987094406,-0.5901796610826983,0.15130958211381423,-0.01131777631677499,DQN
Medium,0.047708097584473946,0.6508162473178113,0.04502542553504817,0.00042298325581683054,0.019479247526914784,0.02168145152381621,-0.6031081497333374,0.044602442279231345,-0.002202203996901426,DQN
Slow,0.15138124765695082,0.5739804191460821,0.058250665422987596,0.002379429444256756,0.01687090597369454,0.021905708405986015,-0.4225991714891313,0.05587123597873084,-0.005034802432291475,DQN
