Group,Episodes,Reward_all_mean,Reward_last100_mean,Reward_last100_std,Reward_best,Reward_best_ep,Stockout_last100,Waste_last100,CriticLoss_last100,ActorLoss_last100
Fast,460,0.18439157472561732,0.1806789907582368,0.0035481946420537753,0.21655356827558894,307,0.1513900996171023,0.010297241670319417,0.06056283134924755,1.0599106875064147e-06
Medium,600,0.11554129199962397,0.047708097584473946,0.020448461606275385,0.2437694991063891,59,0.04502542553504817,0.019479247526914784,0.1268221456422047,7.228666810422365e-06
Slow,600,0.15312171244850772,0.15138124765695082,0.0024782682872346194,0.1617924355845334,294,0.058250665422987596,0.01687090597369454,0.048141750593133484,2.260908741315243e-06
