Group,Episodes,Reward_all_mean,Reward_last100_mean,Reward_last100_std,Reward_best,Reward_best_ep,Stockout_last100,Waste_last100,Overstock_last100,Quantile_last100,Loss_last100
Fast,600,0.5914911705297343,0.770858651840935,0.006349021216246097,0.7817222858758436,576,8.05175032880571e-05,0.021615017987094406,0.005113323985959278,0.20233248995310732,0.03324706230677095
Medium,600,0.4778497966956585,0.6508162473178113,0.007525325923430816,0.6672538426766793,409,0.00042298325581683054,0.02168145152381621,0.006400635455685496,0.3206786871300804,0.03508617376089096
Slow,600,0.4018658676820653,0.5739804191460821,0.010077089266411253,0.5906298632040206,584,0.002379429444256756,0.021905708405986015,0.008806092805767277,0.3929283607853784,0.039478306923206474
