Model,first50,last100,delta,pct
A2C Fast,0.1780361548265831,0.1806789907582368,0.002642835931653681,1.4844377728939084
A2C Medium,0.22781420862531487,0.047708097584473946,-0.18010611104084093,-79.05833096523875
A2C Slow,0.15215232019345312,0.15138124765695082,-0.0007710725365022986,-0.5067767192257885
DQN Fast,0.09370415625800797,0.770858651840935,0.6771544955829271,722.6515051460776
DQN Medium,0.022767238122693698,0.6508162473178113,0.6280490091951176,2758.564766663978
DQN Slow,-0.010730762515298437,0.5739804191460821,0.5847111816613806,5448.924816179468
