component,count,mean,std,min,p25,p50,p75,max,skew,kurtosis,zero_frac,split
z,220000,0.15412726998329163,0.3610706925392151,0.0,0.0,0.0,0.0,1.0,1.915817849600543,1.6703576841457748,0.8458727272727272,train_bs
overstock,220000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,train_bs
q,220000,0.003817794844508171,0.0025640828534960747,0.0,0.001444444409571588,0.004416666459292173,0.005916666239500046,0.024755170568823814,0.16865502432165808,1.2200359583308575,,train_bs
quan,220000,0.23443721234798431,0.07882429659366608,0.007136358413845301,0.19095833599567413,0.26846426725387573,0.2800000011920929,0.8857523202896118,1.1761898704224742,11.220711953070357,,train_bs
reward,220000,0.6076177358627319,0.3778490424156189,-0.809342086315155,0.7129999399185181,0.7192195057868958,0.7951745986938477,0.9927197098731995,-1.7713146371663038,1.3947044323150202,,train_bs
x,220000,0.15271179378032684,0.10256330668926239,0.0,0.057777777314186096,0.17666664719581604,0.23666664958000183,0.990206778049469,0.16865483620647478,1.220035715203112,,train_bs
sales,220000,0.10032734274864197,0.13957595825195312,0.0,0.0,0.0357142873108387,0.1666666716337204,2.25,2.098994979455171,7.137114732258885,,train_bs
