Algorithm,Actions,Hidden,Ckpt,reward,stockout,waste,overstock,quantile,FCS,meanAbsSHAP,OCS,MSX_mean_size,Stability
A2C,7,32,60,-0.1265004211001926,2.7056276199540923e-05,0.024122971788211357,0.9649187438781299,0.13743165123557288,0.0,6.135999964975661e-05,0.625,1.0,90.65656565656565
A2C,14,32,64,0.3832829123185504,2.7056276199540923e-05,0.012746521059261074,0.0009412672645613918,0.6030022436900745,0.0,0.00011238369675331886,0.275,1.0136363636363637,50.0
A2C,28,32,60,-0.1169534108582108,0.0063131312786098865,0.023727310254120282,0.8390700983267928,0.24784288768257415,0.0,6.936584763800479e-06,0.5897727272727272,2.6818181818181817,59.77272727272728
DQN,7,128,61,0.8001132616773248,2.7056276199540923e-05,0.023608450842503872,0.0023630752843585485,0.17388815775750174,0.019696969696969695,0.0008199931016732085,0.41704545454545455,1.1772727272727272,58.82575757575758
DQN,14,128,50,0.5960066923723807,0.000757575734511077,0.018982717708226234,0.0004897354567646288,0.3837632798841075,0.0015151515151515152,0.00016692621367318328,0.2909090909090909,1.5136363636363637,52.02020202020202
DQN,28,128,61,0.8213055581445732,1.8037517466360614e-05,0.023959329867336367,0.00613737151318688,0.14857970663006342,0.019696969696969695,0.0009222551444908216,0.38636363636363635,1.7,60.138888888888886
