episode,reward,loss,stockout,waste,overstock,quantile,epsilon,buffer_size,steps
1,0.0738043746224058,0.0,0.03806565647220446,0.01746028682165262,0.1113626026093132,0.7593070851431952,0.997525,900,900
2,0.08455727717987935,0.3746176246744342,0.03454040381953948,0.017739225579425692,0.11440370137906737,0.7487593964073394,0.99505,1800,900
3,0.10971241890302433,0.20425396680004068,0.02538383827234308,0.018168528974056245,0.11718895001129971,0.7295462688472536,0.992575,2700,900
4,0.12456760069293928,0.3205476871298419,0.025333333226024275,0.018398909634496603,0.11981315200941431,0.7118870096736484,0.9901,3600,900
5,0.10839838255798288,0.3059512188575334,0.02698484842096352,0.018185147364727323,0.11637212338960833,0.7300595046414269,0.987625,4500,900
6,0.1317897625636154,0.24067662379807897,0.023757575621517996,0.01848713436888324,0.1199798147401048,0.7059857179058923,0.98515,5400,900
7,0.10158609920362424,0.3713776349069344,0.02855555536121958,0.018013558648009267,0.11476971097911398,0.7370750802755356,0.982675,6300,900
8,0.08607627605088056,0.3338512516228689,0.031646464499644936,0.017787476488802995,0.11299113757701383,0.751498651040925,0.9802,7200,900
9,0.09272468795320796,0.2077185168241461,0.029287878655207655,0.017893833274849585,0.11206255764390032,0.7480310482449002,0.977725,8100,900
10,0.07128034784331652,0.08528410012523334,0.03488383836164657,0.01760783632337633,0.11002720598855781,0.7662007766962051,0.97525,9000,900
11,0.12707208465899586,0.03015313081857231,0.02475757571351197,0.018251721325537398,0.11523113907418317,0.7146874845690198,0.972775,9900,900
12,0.09993018168425705,0.023189743854519395,0.03273232302473237,0.01779325159965083,0.11141071615223255,0.7381335331334008,0.9702999999999999,10800,900
13,0.1452712088826552,0.021359275926111473,0.020525252404105333,0.018563284694941506,0.11693008302193549,0.6987101760837767,0.9678249999999999,11700,900
14,0.15584887632721803,0.02068205642927852,0.021323232216139635,0.018713641410900487,0.1195515778950519,0.6845626772112317,0.9653499999999999,12600,900
15,0.15698983808216224,0.02037056639066173,0.019712121058255434,0.01874703884124756,0.11847733399313357,0.6860736731688182,0.9628749999999999,13500,900
16,0.12112367851274838,0.019997993433434103,0.029419191781845357,0.01813118219608441,0.1119782469701022,0.7193477062384287,0.9603999999999999,14400,900
17,0.1216561084996081,0.019901569412193364,0.027580807904402416,0.0182790982697366,0.11434107564389706,0.7181429147720337,0.9579249999999999,15300,900
18,0.1214800397265612,0.01958690646207995,0.029843434216454624,0.018150155664059437,0.11289278686460522,0.7176335880491469,0.9554499999999999,16200,900
