global_step,experience_step,rewards,stockouts,waste,delta,critic_loss,entropy_adjusted,actor_loss
16896,32,0.07169480621814728,0.28467464447021484,0.007410404738038778,-0.03349101543426514,0.05793461576104164,4.251223799656145e-06,2.8043023121426813e-06
16897,32,0.048437654972076416,0.36772260069847107,0.003952950704842806,-0.02787165530025959,0.060447726398706436,3.3897140383487567e-06,2.7621772460406646e-06
16898,32,-0.0221963282674551,0.340753436088562,0.00478252163156867,-0.10322065651416779,0.06919775903224945,5.247208719083574e-06,7.327461844397476e-06
16899,32,0.010050525888800621,0.36044520139694214,0.003776093479245901,-0.07553299516439438,0.059880297631025314,2.8120223305450054e-06,1.4032632407179335e-06
16900,32,0.008923049084842205,0.3600171208381653,0.00418032007291913,-0.08770614862442017,0.06916075944900513,3.7926615732430946e-06,1.4455619066211511e-06
16901,32,0.021739957854151726,0.3446061611175537,0.00409764563664794,-0.061015114188194275,0.06466741114854813,3.278162012065877e-06,1.4458316854870645e-06
16902,32,0.011535468511283398,0.32919520139694214,0.00430371193215251,-0.0677286684513092,0.06223530322313309,3.9294113776122686e-06,1.430430188520404e-06
16903,32,0.016872726380825043,0.29109588265419006,0.00491630332544446,-0.07016319036483765,0.057746678590774536,2.3704594696027925e-06,1.101005295822688e-06
16904,32,0.0506741963326931,0.30265411734580994,0.00450329901650548,-0.04263532906770706,0.05609752610325813,4.028315288451267e-06,9.605510058463551e-07
16905,32,0.012414789758622646,0.25513699650764465,0.00527256540954113,-0.06910865753889084,0.051869843155145645,3.5006271446036408e-06,9.849238722381415e-07
16906,32,0.009892177768051624,0.2538527250289917,0.005873645190149546,-0.07297217100858688,0.05126720294356346,1.8401893839836703e-06,3.0694111501361476e-06
16907,32,0.04014107957482338,0.25342464447021484,0.005036384332925081,-0.04764752462506294,0.05136282742023468,1.761907242325833e-06,7.475304073523148e-07
16908,32,0.061605505645275116,0.23929794132709503,0.004807695746421814,-0.032122477889060974,0.0446520633995533,2.54305882663175e-06,7.272052471307688e-07
16909,32,0.07913944870233536,0.2101883590221405,0.005582177545875311,0.00017246685456484556,0.041643667966127396,5.754415042247274e-07,1.7021632459091052e-07
16910,32,0.08800984919071198,0.1665239781141281,0.006283983588218689,0.0063870796002447605,0.03451021388173103,1.5074102748258156e-06,6.870091624477936e-07
16911,32,0.0743924230337143,0.12799657881259918,0.007428208366036415,-0.012922746129333973,0.03135399520397186,1.3382489214563975e-06,3.1480479378842574e-07
16912,32,0.1287098526954651,0.09332191944122314,0.00804081279784441,0.03873639926314354,0.023779170587658882,6.014098516970989e-07,9.568962866524089e-08
16913,32,0.08885876834392548,0.08690068125724792,0.007919867523014545,0.0016755935503169894,0.02243015728890896,9.319664968643337e-07,2.147661319895633e-07
16914,32,0.04443490132689476,0.1164383590221405,0.00795251689851284,-0.04112657159566879,0.02652883157134056,8.752903113418142e-07,5.742032982425371e-08
16915,32,0.05647769197821617,0.0851883590221405,0.009079369716346264,-0.030434876680374146,0.021656785160303116,6.369994025590131e-07,6.952705433604933e-08
16916,32,0.0804976373910904,0.05265410989522934,0.010084719397127628,-0.00908880215138197,0.014190598390996456,3.425161878567451e-07,1.3918730701334425e-07
16917,32,0.10437389463186264,0.02782534249126911,0.011304358020424843,0.016175877302885056,0.00949416309595108,1.4361283717789775e-07,8.009232388417331e-09
16918,32,0.10950613766908646,0.02868150733411312,0.010978776961565018,0.02182191051542759,0.008601761423051357,2.210920779788239e-09,5.3060993099318665e-12
16919,32,0.09745828807353973,0.013698630034923553,0.01323669869452715,0.009418887086212635,0.0045732432045042515,9.96519844420618e-09,2.965166090093674e-12
16920,32,0.1667437106370926,0.006421233061701059,0.016176190227270126,0.078598752617836,0.006998441182076931,8.172637202131638e-15,1.0068942940745637e-25
16921,32,0.2588583528995514,0.0012842465657740831,0.01793038286268711,0.17110584676265717,0.016680769622325897,6.409271995257696e-17,5.601032346300877e-30
16922,32,0.3421790897846222,0.0021404109429568052,0.01949562504887581,0.2547525465488434,0.03447249159216881,6.255388290416896e-15,2.5267577177207344e-25
16923,32,0.40445077419281006,0.0021404109429568052,0.020395468920469284,0.3171846568584442,0.053756315261125565,2.4125907435029736e-12,2.58883475636674e-20
16924,32,0.543502926826477,0.0,0.021367067471146584,0.4545716643333435,0.10640549659729004,-0.0,4.75001045345245e-31
16925,32,0.6595784425735474,0.0,0.021993035450577736,0.5722649097442627,0.1662893146276474,1.6724043672746324e-23,3.990771347595324e-31
16926,32,0.6488006711006165,0.00042808218859136105,0.021840505301952362,0.5599011182785034,0.16175943613052368,3.34234858288331e-18,7.955396879641918e-31
16927,32,0.6843731999397278,0.0,0.022382784634828568,0.5970237255096436,0.18106268346309662,3.143630448087662e-29,3.851451757135866e-31
16928,8,0.7380629181861877,0.0,0.023128503933548927,0.6484600305557251,0.21213969588279724,-0.0,3.564828618586166e-31
