episode,reward,loss,stockout,waste,overstock,quantile,epsilon,buffer_size,steps
1,-0.08592548233243481,0.0,0.08097597572331627,0.014505951983026332,0.06523301585163507,0.9252105445663135,0.997525,900,900
2,-0.054035686566171026,0.41055695413054893,0.06632132106874553,0.015238586680239273,0.06897782487949977,0.903497959640291,0.99505,1800,900
3,-0.06578406447350668,0.3688438461927904,0.06878378349459834,0.01504651620777117,0.06847005605490672,0.9134837145937814,0.992575,2700,900
4,-0.08324479424110097,0.3803962569228477,0.08117117092737722,0.014528947226806647,0.06390201746680153,0.923642664651076,0.9901,3600,900
5,-0.07472377205661461,0.35159735712326234,0.06876876853095988,0.014946246582807765,0.06664548492835214,0.9243632774882846,0.987625,4500,900
6,-0.056698361466535264,0.4852098484088977,0.06534534505258004,0.01534595439934896,0.06922627382911742,0.9067807945277956,0.98515,5400,900
7,-0.07822272870903059,0.41333487629476523,0.06914414401787022,0.014940570579427812,0.06691982282636066,0.9272181971205605,0.982675,6300,900
8,-0.08215817335980116,0.5009794626447062,0.07660660644061863,0.01463915148232546,0.06418638485910681,0.9267260358068679,0.9802,7200,900
9,-0.05298906443899291,0.5861415015823311,0.06318318311952882,0.015408569892557959,0.06850895841774117,0.9058883596128887,0.977725,8100,900
10,-0.08159939176082844,0.6250167343931066,0.0781231224640376,0.014552073135920282,0.06387534859279792,0.9250488530264961,0.97525,9000,900
11,-0.05855505567105461,0.02517058422892458,0.07021020986346735,0.01502155683003366,0.06628231107412527,0.9070409842994478,0.972775,9900,900
12,-0.05564452215734895,0.016924772385714784,0.07139639606492387,0.015095628342694706,0.0659724285086203,0.903180075486501,0.9702999999999999,10800,900
13,-0.04503539275593842,0.014474318731162283,0.05795795773776869,0.015776888992533915,0.07063155667856336,0.900668996307585,0.9678249999999999,11700,900
14,-0.036056408756032596,0.01317442985975908,0.05671171157310406,0.015899949979761407,0.07083651655353605,0.892608236670494,0.9653499999999999,12600,900
15,-0.04696733459519843,0.012277666581277219,0.06654654615972605,0.015507141187166174,0.06772923656829839,0.8971844171153175,0.9628749999999999,13500,900
16,-0.041602636808788195,0.011917777273596988,0.05692192167561087,0.015834386004652413,0.0708882559163289,0.8979580794440375,0.9603999999999999,14400,900
17,-0.002590641705351623,0.011717088251995543,0.04983483465698858,0.016475857631820773,0.07431299299001694,0.861966963145468,0.9579249999999999,15300,900
18,-0.02426180254092388,0.011200454235076904,0.0532432431800084,0.016235193331311973,0.07203946875460032,0.8827439047230614,0.9554499999999999,16200,900
19,-0.03101149122347124,0.01099926504254755,0.05660660644993186,0.016095686569913392,0.07211916922720978,0.8861900357405345,0.9529749999999999,17100,900
20,0.007939651944907382,0.01108284056186676,0.048798798717972304,0.016719890048520432,0.07579944801620311,0.8507422182295058,0.9504999999999999,18000,900
21,-0.0005531543458669653,0.024841823797259067,0.047537537309237654,0.016546788933790392,0.0717031814608102,0.8647656526168187,0.9480249999999999,18900,900
22,-0.03241189529666574,0.023904588762670754,0.0578378376375056,0.0158869558515855,0.0691327031996722,0.8895544048812655,0.9455499999999999,19800,900
23,-0.006282714808540832,0.02409327358317872,0.0517417414403624,0.01634670363790873,0.0722812580368999,0.8659130174583859,0.9430749999999999,20700,900
24,-0.017817338129104125,0.024477891435639727,0.05049549527052376,0.01630392214231607,0.07133396978942781,0.8796839574310514,0.9405999999999999,21600,900
25,-0.028347426401095516,0.024595870263874532,0.05671171166623632,0.016021581043799717,0.0693967316682554,0.8862174084451464,0.9381249999999999,22500,900
26,-0.022818923008776942,0.024848971233392754,0.053558558351877665,0.016298577170301642,0.07069249483161709,0.8822692990965313,0.9356499999999999,23400,900
27,-0.004461603041887025,0.02517503385535545,0.04794294279379149,0.016560891642131738,0.0724025883887791,0.867555186814732,0.9331749999999999,24300,900
28,-0.02709189028466224,0.02565430806742774,0.056021020858445104,0.016136817785963,0.06970345698555724,0.8852306007014381,0.9306999999999999,25200,900
29,-0.004206623459694027,0.025320700717469058,0.047912912711294164,0.016436798215533295,0.06951728786445326,0.8703396312395731,0.9282249999999999,26100,900
30,0.004477680661722034,0.02577142667232288,0.044774774637901124,0.01677078161854297,0.07312797376756659,0.8608487963676452,0.9257499999999999,27000,900
31,-0.021364880493040094,0.013976034897172616,0.055825825611957244,0.016248335650242453,0.07013953580779748,0.8791511903868782,0.9232749999999998,27900,900
32,0.035774280211707164,0.014000347807692985,0.03857357339105672,0.017225294671952725,0.07546491476707161,0.8329619440767501,0.9207999999999998,28800,900
33,-0.01555688073987969,0.014089261753898527,0.05423423415567312,0.01620694370371186,0.06802655462537789,0.8770891545216243,0.9183249999999998,29700,900
34,0.040551485192198825,0.013896794908990463,0.03965465450762874,0.017163018261392913,0.07354848678999891,0.8290823627842797,0.9158499999999998,30600,900
35,-0.00549778607298827,0.014424292682670058,0.05196696675796476,0.016509397959129677,0.06978533759920133,0.8672360901037852,0.9133749999999998,31500,900
36,0.033338246080998536,0.014294084925204516,0.040030029988330273,0.01709454574673954,0.07214619962653766,0.837390986416075,0.9108999999999998,32400,900
37,0.013958882763549304,0.014426290242829256,0.04490990958383514,0.01678215091323687,0.07086931851226837,0.8534797446595298,0.9084249999999998,33300,900
38,0.05835673677823959,0.014687742297020223,0.037642642555551394,0.01738293385081407,0.07354783123048643,0.8130698627895779,0.9059499999999998,34200,900
39,0.04124575926236705,0.014932178374276394,0.037882882862662275,0.017279916462591954,0.0738517946191132,0.8297396533356772,0.9034749999999998,35100,900
40,0.022448596281723843,0.015118761924095453,0.04499999983960556,0.01683755867079728,0.06929767664728893,0.8464161752329933,0.9009999999999998,36000,900
41,0.05610400746796384,0.013645431643041472,0.036186185955173436,0.017443061951133938,0.0736895647034463,0.8165771867169275,0.8985249999999998,36900,900
42,0.036299228289458876,0.013823880649482211,0.038018017777552204,0.017350023350057503,0.07417937906665935,0.8341533590025372,0.8960499999999998,37800,900
43,0.02622961105985774,0.013719929385826819,0.04153153131198552,0.017104137778385646,0.07160297019326309,0.8435317558050156,0.8935749999999998,38700,900
44,0.0072259819975523795,0.0139049857078741,0.049129128964203926,0.01670450361393806,0.06945569837879803,0.857484694454405,0.8910999999999998,39600,900
45,0.06256419659297939,0.013763103687928782,0.0355555554634581,0.017570509793133373,0.07317042428586218,0.8111393207973904,0.8886249999999998,40500,900
46,0.06399304624866797,0.014013320637556413,0.03246246232340733,0.017741836397391228,0.0742183479697754,0.8115843140416675,0.8861499999999998,41400,900
47,0.04496043801972418,0.014080342832538817,0.035315315196704535,0.017317424590906336,0.07082430932877792,0.8315825196769503,0.8836749999999998,42300,900
