global_step,experience_step,rewards,stockouts,waste,delta,critic_loss,entropy_adjusted,actor_loss
4323,32,-0.43292614817619324,0.035653408616781235,0.01571021042764187,-0.44689708948135376,0.1915765255689621,1.6433650671388023e-05,1.671508107392583e-05
4324,32,-0.3356873393058777,0.03607954457402229,0.01702510379254818,-0.34638652205467224,0.15520595014095306,1.6597485227975994e-05,1.4702854969073087e-05
4325,32,-0.30912551283836365,0.013068181462585926,0.018047673627734184,-0.31979578733444214,0.1378767490386963,1.4692476725031156e-05,1.0096541700477246e-05
4326,32,-0.30931875109672546,0.015767045319080353,0.01837289147078991,-0.31917813420295715,0.13947133719921112,1.5766518117743544e-05,1.2130988579883706e-05
4327,32,-0.34795689582824707,0.02301136404275894,0.016979338601231575,-0.3620466887950897,0.154365673661232,1.3917821888753679e-05,9.489741387369577e-06
4328,32,-0.36887553334236145,0.023579545319080353,0.017827734351158142,-0.3790043592453003,0.16326352953910828,1.6148489521583542e-05,1.7462309187976643e-05
4329,32,-0.27851346135139465,0.010937499813735485,0.01837456226348877,-0.2886504828929901,0.12782630324363708,1.3642409612657502e-05,1.0026533345808275e-05
4330,32,-0.26246771216392517,0.00937500037252903,0.01884596422314644,-0.27166271209716797,0.12618981301784515,1.5251675904437434e-05,9.586234227754176e-06
4331,32,-0.3483782112598419,0.013636363670229912,0.01841413415968418,-0.35940009355545044,0.15873387455940247,1.5964989870553836e-05,1.3404210221779067e-05
4332,32,-0.2842961549758911,0.012357954867184162,0.019093947485089302,-0.29547929763793945,0.13396351039409637,1.6638254237477668e-05,9.931854947353713e-06
4333,32,-0.2171231061220169,0.006960227154195309,0.019438978284597397,-0.22831334173679352,0.11286896467208862,1.4932236808817834e-05,8.643840374134015e-06
4334,32,-0.2516537010669708,0.00937500037252903,0.019439926370978355,-0.26235446333885193,0.12031560391187668,1.571459688420873e-05,9.929359293892048e-06
4335,32,-0.23504193127155304,0.006960227154195309,0.019837956875562668,-0.24640846252441406,0.11691118031740189,1.3669214240508154e-05,8.438310942437965e-06
4336,32,-0.19076091051101685,0.004261363763362169,0.020489206537604332,-0.2022085338830948,0.10826779156923294,1.438143772247713e-05,8.273325875052251e-06
4337,32,-0.2072560340166092,0.00639204541221261,0.020427968353033066,-0.21720366179943085,0.11118779331445694,1.2263166354387067e-05,6.691083854093449e-06
4338,32,-0.13678114116191864,0.002414772752672434,0.021069006994366646,-0.1471557319164276,0.09298566728830338,1.3724130440095905e-05,7.868778993724845e-06
4339,32,-0.1637703776359558,0.0014204545877873898,0.02128801867365837,-0.17530104517936707,0.09928864240646362,1.5234313650580589e-05,9.376691195939202e-06
4340,32,-0.13377781212329865,0.0022727272007614374,0.021556269377470016,-0.1456441730260849,0.09338507056236267,1.3455171028908808e-05,8.685079592396505e-06
4341,32,-0.12517477571964264,0.0012784090358763933,0.02150462567806244,-0.13613545894622803,0.08968164026737213,1.4550743799190968e-05,8.827913006825838e-06
4342,32,-0.14767564833164215,0.0005681818001903594,0.021484728902578354,-0.1575130820274353,0.09691989421844482,1.1317546523059718e-05,6.588857559108874e-06
4343,32,-0.12680502235889435,0.0007102272938936949,0.021749665960669518,-0.13776341080665588,0.09503713250160217,1.3240513908385765e-05,7.800990715622902e-06
4344,32,-0.13455171883106232,0.0007102272938936949,0.02185436151921749,-0.14595526456832886,0.0957242026925087,1.3854039025318343e-05,8.616625564172864e-06
4345,32,-0.11063522100448608,0.000994318164885044,0.02184804528951645,-0.12168136984109879,0.08928461372852325,1.4175449905451387e-05,1.0351662240282167e-05
4346,32,-0.05778220668435097,0.00014204545004758984,0.022274160757660866,-0.0681038498878479,0.08489783853292465,1.3202994523453526e-05,8.124108717311174e-06
4347,32,-0.06508325785398483,0.00014204545004758984,0.02244798094034195,-0.07640393823385239,0.08558356016874313,1.3617587683256716e-05,9.280202903028112e-06
4348,32,-0.058431245386600494,0.0008522727293893695,0.02252931147813797,-0.06992341578006744,0.0846940204501152,1.143261124525452e-05,8.736503332329448e-06
4349,32,-0.04704022780060768,0.0002840909000951797,0.022611811757087708,-0.0578928180038929,0.08233781903982162,1.360495480184909e-05,8.516625712218229e-06
4350,32,-0.03938211873173714,0.0002840909000951797,0.022716831415891647,-0.04990994185209274,0.0844520553946495,1.3014588148507755e-05,1.0351651326345745e-05
4351,32,-0.02690657414495945,0.00014204545004758984,0.02272823266685009,-0.03799870237708092,0.08951815962791443,1.1959983567066956e-05,9.033831702254247e-06
4352,32,0.0002078240504488349,0.0012784090358763933,0.022868726402521133,-0.011110082268714905,0.0881892740726471,1.2723600775643717e-05,7.973494575708173e-06
4353,32,-0.014012345112860203,0.0012784090358763933,0.02267240174114704,-0.025042396038770676,0.09084098786115646,1.4166188520903233e-05,9.808805771172047e-06
4354,32,0.02557891234755516,0.001704545458778739,0.022980455309152603,0.01538246963173151,0.09146908670663834,1.4893784282321576e-05,1.0995226148224901e-05
4355,8,0.06457402557134628,0.0,0.023436164483428,0.05274680629372597,0.09432834386825562,1.5168448953772895e-05,8.439403245574795e-06
